user,review,rating,date,app,cleaned_review,review_length,month,year,detected_patterns,has_dark_pattern,pattern_count,detected_patterns_str
Rujul Raimagia,"order delivered in a horrible manner , no one responding.",1,2026-03-23 11:11:33,Zomato,order delivered in a horrible manner no one responding,57,3,2026,[],False,0,none
Om Madane,thanks for giving me immediately order I can't explain also because the matter is a very and very thankful for giving us a food in immediately thank you Zomato for helping if you are not there in any media social media I can't explain because I want in everyday any food cold sorry main English is very weak but thank you so much,5,2026-03-23 10:59:10,Zomato,thanks for giving me immediately order i can t explain also because the matter is a very and very thankful for giving us a food in immediately thank you zomato for helping if you are not there in any media social media i can t explain because i want in everyday any food cold sorry main english is very weak but thank you so much,329,3,2026,[],False,0,none
Ume Salma,so so good love it 😋🫶,5,2026-03-23 10:55:50,Zomato,so so good love it,21,3,2026,[],False,0,none
Harshita Pawar,Delicious taste and hygiene is maintained,5,2026-03-23 10:51:51,Zomato,delicious taste and hygiene is maintained,41,3,2026,[],False,0,none
Sonali Pawar,Nice offers will be there,5,2026-03-23 10:49:23,Zomato,nice offers will be there,25,3,2026,[],False,0,none
sachin patil,Best Service & Service on Time,5,2026-03-23 10:31:30,Zomato,best service service on time,30,3,2026,[],False,0,none
Fazal Ahmed,11 burger order kare the deliveryboy pese legya sab ke jab pack khola too 6 hi nikle complaint ki too koi responce nii aya abhi tak bass yahi bola jara hai ki restro m ptaa karke btate hain sir bas (west hai ye aap ),1,2026-03-23 10:23:57,Zomato,11 burger order kare the deliveryboy pese legya sab ke jab pack khola too 6 hi nikle complaint ki too koi responce nii aya abhi tak bass yahi bola jara hai ki restro m ptaa karke btate hain sir bas west hai ye aap,216,3,2026,[],False,0,none
Anand Upadhyaya,Bad Customer Service. You'll not get exact refund even if you didn't get your full items delivered.,1,2026-03-23 10:09:13,Zomato,bad customer service you ll not get exact refund even if you didn t get your full items delivered,99,3,2026,[],False,0,none
Alok Anand,"literally no customer support, only stupid AI response for every problem.",1,2026-03-23 09:49:20,Zomato,literally no customer support only stupid ai response for every problem,73,3,2026,['roach_motel'],True,1,roach_motel
Snehangi Basak.,very nice and less price,5,2026-03-23 08:20:26,Zomato,very nice and less price,24,3,2026,[],False,0,none
Osman khan,best service and order on time,5,2026-03-23 08:13:27,Zomato,best service and order on time,30,3,2026,[],False,0,none
shelton Gonsalves,"I’m extremely disappointed with the current pricing. Not only are your delivery and platform fees too high, but your menu prices are consistently more expensive than other apps for the identical restaurant and meal. It’s frustrating to pay a premium on both the food and the service. I’ll be using other platforms until your pricing becomes more competitive.",1,2026-03-23 07:46:51,Zomato,i m extremely disappointed with the current pricing not only are your delivery and platform fees too high but your menu prices are consistently more expensive than other apps for the identical restaurant and meal it s frustrating to pay a premium on both the food and the service i ll be using other platforms until your pricing becomes more competitive,358,3,2026,['hidden_costs'],True,1,hidden_costs
gopalan amarnath,Delivery timings maintiined as I am ordering for my aged parents also offering services from most of the restaurants I am happy with zomato services.,5,2026-03-23 07:42:27,Zomato,delivery timings maintiined as i am ordering for my aged parents also offering services from most of the restaurants i am happy with zomato services,149,3,2026,[],False,0,none
debaroti sarkar,it's been good experience till now but during rush hours at times I had to cancel the order due to delay in preparation of food.,4,2026-03-23 06:52:25,Zomato,it s been good experience till now but during rush hours at times i had to cancel the order due to delay in preparation of food,128,3,2026,['fake_urgency'],True,1,fake_urgency
Adarsh Shajan,"very nice, actually thier delivery is faster and professional staffs appreciate it",5,2026-03-23 06:52:13,Zomato,very nice actually thier delivery is faster and professional staffs appreciate it,82,3,2026,[],False,0,none
gaurav chauhan,absolutely luxurious service ls all restaurants thankyou in jaipur areas love to all teams,5,2026-03-23 06:26:40,Zomato,absolutely luxurious service ls all restaurants thankyou in jaipur areas love to all teams,90,3,2026,[],False,0,none
Abhimanyu Shukla,"I have 2500 cashback that I can claim in a week but when I'm sitting in a restaurant waiting to claim the cashback, after I booked my table, the app does not work, as Payment options are all gone and it does allow me to pay with only option it retained. I paid using Swiggy, and my cashback will expire, unused? who will pay for my loss?",1,2026-03-23 05:38:03,Zomato,i have 2500 cashback that i can claim in a week but when i m sitting in a restaurant waiting to claim the cashback after i booked my table the app does not work as payment options are all gone and it does allow me to pay with only option it retained i paid using swiggy and my cashback will expire unused who will pay for my loss,337,3,2026,[],False,0,none
Yes That’s it,totally fraud zomato partner should know the rules of delivery the order. totally fraud zomato,1,2026-03-23 04:48:49,Zomato,totally fraud zomato partner should know the rules of delivery the order totally fraud zomato,94,3,2026,[],False,0,none
Laxmi Bohra,poor customer service,1,2026-03-23 03:14:14,Zomato,poor customer service,21,3,2026,[],False,0,none
Avinash R,scammed by a restaurant and the sad part is that support is giving me automated replied and closing chat without resolution. feel like membership is no good. I've learnt my lesson and changed my opinion on zomato. thank you for all that we had.,3,2026-03-23 02:30:14,Zomato,scammed by a restaurant and the sad part is that support is giving me automated replied and closing chat without resolution feel like membership is no good i ve learnt my lesson and changed my opinion on zomato thank you for all that we had,244,3,2026,[],False,0,none
Mhmd_ Suhayl_93,very good and higiene foods nd friendly type,5,2026-03-23 02:08:01,Zomato,very good and higiene foods nd friendly type,44,3,2026,[],False,0,none
Sunny Yadav,very nice and good service for Zomato on time deliver,5,2026-03-23 01:48:09,Zomato,very nice and good service for zomato on time deliver,53,3,2026,[],False,0,none
